day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,05:20 ص,06:36 ص,12:26 م,03:33 م,06:03 م,07:23 م
2,05:18 ص,06:35 ص,12:26 م,03:33 م,06:04 م,07:24 م
3,05:17 ص,06:34 ص,12:26 م,03:34 م,06:05 م,07:25 م
4,05:15 ص,06:32 ص,12:26 م,03:34 م,06:06 م,07:26 م
5,05:14 ص,06:31 ص,12:26 م,03:35 م,06:07 م,07:27 م
6,05:12 ص,06:30 ص,12:25 م,03:35 م,06:08 م,07:28 م
7,05:11 ص,06:28 ص,12:25 م,03:35 م,06:09 م,07:29 م
8,05:10 ص,06:27 ص,12:25 م,03:36 م,06:10 م,07:30 م
9,05:08 ص,06:26 ص,12:25 م,03:36 م,06:11 م,07:31 م
10,05:07 ص,06:24 ص,12:24 م,03:36 م,06:12 م,07:32 م
11,05:06 ص,06:23 ص,12:24 م,03:37 م,06:13 م,07:33 م
12,05:05 ص,06:22 ص,12:24 م,03:38 م,06:13 م,07:33 م
13,05:04 ص,06:20 ص,12:24 م,03:38 م,06:14 م,07:34 م
14,05:03 ص,06:19 ص,12:23 م,03:38 م,06:15 م,07:35 م
15,05:02 ص,06:18 ص,12:23 م,03:39 م,06:16 م,07:36 م
16,05:01 ص,06:16 ص,12:23 م,03:39 م,06:17 م,07:37 م
17,04:59 ص,06:15 ص,12:23 م,03:39 م,06:18 م,07:38 م
18,04:58 ص,06:14 ص,12:22 م,03:40 م,06:19 م,07:39 م
19,04:56 ص,06:12 ص,12:22 م,03:40 م,06:19 م,07:39 م
20,04:54 ص,06:11 ص,12:22 م,03:40 م,06:20 م,07:40 م
21,04:53 ص,06:09 ص,12:21 م,03:41 م,06:21 م,07:41 م
22,04:51 ص,06:08 ص,12:21 م,03:41 م,06:22 م,07:42 م
23,04:50 ص,06:07 ص,12:21 م,03:41 م,06:23 م,07:43 م
24,04:48 ص,06:05 ص,12:20 م,03:42 م,06:23 م,07:43 م
25,04:47 ص,06:04 ص,12:20 م,03:42 م,06:24 م,07:44 م
26,04:45 ص,06:03 ص,12:20 م,03:42 م,06:25 م,07:45 م
27,04:44 ص,06:01 ص,12:19 م,03:43 م,06:26 م,07:46 م
28,04:42 ص,06:00 ص,12:19 م,03:43 م,06:27 م,07:47 م
29,04:41 ص,05:58 ص,12:19 م,03:43 م,06:28 م,07:48 م
30,04:39 ص,05:57 ص,12:18 م,03:44 م,06:28 م,07:48 م
31,04:38 ص,05:56 ص,12:18 م,03:44 م,06:29 م,07:49 م
