day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,03:27 ص,04:57 ص,12:12 م,03:55 م,07:17 م,08:37 م
2,03:26 ص,04:56 ص,12:12 م,03:56 م,07:17 م,08:37 م
3,03:26 ص,04:56 ص,12:12 م,03:56 م,07:18 م,08:38 م
4,03:26 ص,04:56 ص,12:12 م,03:57 م,07:19 م,08:39 م
5,03:26 ص,04:56 ص,12:12 م,03:58 م,07:20 م,08:40 م
6,03:26 ص,04:56 ص,12:12 م,03:58 م,07:20 م,08:40 م
7,03:25 ص,04:55 ص,12:13 م,03:59 م,07:20 م,08:40 م
8,03:25 ص,04:55 ص,12:13 م,03:59 م,07:21 م,08:41 م
9,03:25 ص,04:55 ص,12:13 م,04:00 م,07:22 م,08:42 م
10,03:25 ص,04:55 ص,12:13 م,04:01 م,07:22 م,08:42 م
11,03:25 ص,04:55 ص,12:13 م,04:01 م,07:23 م,08:43 م
12,03:25 ص,04:55 ص,12:14 م,04:02 م,07:23 م,08:43 م
13,03:25 ص,04:55 ص,12:14 م,04:02 م,07:24 م,08:44 م
14,03:25 ص,04:55 ص,12:14 م,04:02 م,07:24 م,08:44 م
15,03:25 ص,04:55 ص,12:14 م,04:02 م,07:24 م,08:44 م
16,03:25 ص,04:55 ص,12:14 م,04:02 م,07:25 م,08:45 م
17,03:25 ص,04:56 ص,12:15 م,04:02 م,07:25 م,08:45 م
18,03:25 ص,04:56 ص,12:15 م,04:03 م,07:25 م,08:45 م
19,03:25 ص,04:56 ص,12:15 م,04:03 م,07:26 م,08:46 م
20,03:25 ص,04:56 ص,12:15 م,04:03 م,07:26 م,08:46 م
21,03:25 ص,04:56 ص,12:16 م,04:03 م,07:26 م,08:46 م
22,03:26 ص,04:57 ص,12:16 م,04:04 م,07:26 م,08:46 م
23,03:26 ص,04:57 ص,12:16 م,04:04 م,07:26 م,08:46 م
24,03:26 ص,04:57 ص,12:16 م,04:04 م,07:26 م,08:46 م
25,03:27 ص,04:58 ص,12:16 م,04:04 م,07:27 م,08:47 م
26,03:27 ص,04:58 ص,12:17 م,04:04 م,07:27 م,08:47 م
27,03:27 ص,04:58 ص,12:17 م,04:04 م,07:27 م,08:47 م
28,03:28 ص,04:59 ص,12:17 م,04:04 م,07:27 م,08:47 م
29,03:28 ص,04:59 ص,12:17 م,04:04 م,07:27 م,08:47 م
30,03:28 ص,04:59 ص,12:17 م,04:04 م,07:27 م,08:47 م
